Gene_A	Gene_B	Weight
AT1G08710	AT1G75950	2.1E-1
AT1G21760	AT1G75950	2.1E-1
AT1G23780	AT1G75950	2.1E-1
AT1G27340	AT1G75950	1.1E-1
AT1G30950	AT1G75950	1.1E-1
AT1G31350	AT1G75950	2.1E-1
AT1G75950	AT1G76920	1.1E-1
AT1G75950	AT2G01620	7.1E-2
AT1G75950	AT2G02870	2.1E-1
AT1G75950	AT2G04550	2.1E-1
AT1G75950	AT2G17030	2.1E-1
AT1G75950	AT2G21950	2.1E-1
AT1G75950	AT2G24540	2.1E-1
AT1G75950	AT3G26000	7.1E-2
AT1G75950	AT3G59910	2.1E-1
AT1G75950	AT3G59940	2.1E-1
AT1G75950	AT3G61060	1.1E-1
AT1G75950	AT3G62980	1.1E-1
AT1G75950	AT3G63220	2.1E-1
AT1G75950	AT4G02440	2.1E-1
AT2G01620	AT4G02570	3.2E-1
AT3G26000	AT4G02570	3.2E-1
AT1G02980	AT4G02740	4.7E-1
AT1G75950	AT4G02740	4.9E-2
AT4G02570	AT4G02740	2.2E-1
AT1G75950	AT4G05460	7.1E-2
AT4G02570	AT4G05460	3.2E-1
AT1G02980	AT4G08980	4.7E-1
AT1G75950	AT4G08980	4.9E-2
AT4G02570	AT4G08980	2.2E-1
AT1G75950	AT4G10930	2.1E-1
AT1G75950	AT4G21510	2.1E-1
AT1G27340	AT5G26751	2.4E-1
AT1G30950	AT5G26751	2.4E-1
AT1G76920	AT5G26751	2.4E-1
AT2G01620	AT5G26751	1.5E-1
AT3G26000	AT5G26751	1.5E-1
AT3G61060	AT5G26751	2.4E-1
AT3G62980	AT5G26751	2.4E-1
AT4G02740	AT5G26751	1.1E-1
AT4G05460	AT5G26751	1.5E-1
AT4G08980	AT5G26751	1.1E-1
AT1G75950	AT5G45360	2.1E-1
AT1G75950	AT5G57360	1.1E-1
AT5G26751	AT5G57360	2.4E-1
AT1G75950	AT5G57900	1.1E-1
AT5G26751	AT5G57900	2.4E-1
